workload,iteration,wall_ms,scanner_elapsed_ms,traversal_us,aggregation_us,indexing_us,initial_view_ms,entries_per_second
directory-rich,1,158.397834,157,156419,1004,0,0.931584,695091.575557782
directory-rich,2,132.592917,131,130704,1011,0,0.840833,830368.638771255
directory-rich,3,130.102166,129,128319,957,0,0.790208,846265.695530388
directory-rich,4,140.022875,139,138336,876,0,0.769417,786307.2372996198
directory-rich,5,138.463584,137,136872,837,0,0.718834,795162.1416935156
directory-rich,6,136.594167,135,134892,903,0,0.759125,806044.668071368
directory-rich,7,140.791584,139,139128,842,0,0.783042,782014.072659343
directory-rich,8,134.166042,133,132420,910,0,0.798083,820632.392211436
directory-rich,9,128.396625,127,126680,958,0,0.722917,857506.963286613
wide,1,206.660083,205,204973,726,0,0.917666,484379.9467553683
wide,2,98.319,97,96694,676,0,0.911375,1018134.8467742755
wide,3,96.369,95,94720,641,0,0.970291,1038736.5231557867
wide,4,107.667167,106,105779,782,0,1.072041,929735.6175443904
wide,5,91.554,90,89854,680,0,0.991375,1093365.6639797278
wide,6,105.98025,105,104373,650,0,0.9225,944534.4769426379
wide,7,102.619,101,100803,750,0,1.032875,975472.3784094563
wide,8,99.635375,98,98006,734,0,0.872042,1004683.3265795406
wide,9,100.684292,99,98963,706,0,0.989209,994216.6549673906
