workload,backend,iteration,entries_at_request,scan_elapsed_us,cancellation_latency_us
directory-rich,jwalk,1,2048,4814,452
directory-rich,jwalk,2,2048,6613,859
directory-rich,jwalk,3,2048,8082,312
directory-rich,jwalk,4,2048,5056,527
directory-rich,jwalk,5,2048,4437,212
directory-rich,jwalk,6,2048,5064,252
directory-rich,jwalk,7,2048,4605,414
directory-rich,jwalk,8,2048,4971,481
directory-rich,jwalk,9,2048,10569,340
directory-rich,getattrlistbulk,1,2048,2024,205
directory-rich,getattrlistbulk,2,2048,1672,91
directory-rich,getattrlistbulk,3,2048,1480,78
directory-rich,getattrlistbulk,4,2048,1544,195
directory-rich,getattrlistbulk,5,2048,1272,75
directory-rich,getattrlistbulk,6,2048,1374,103
directory-rich,getattrlistbulk,7,2048,1203,73
directory-rich,getattrlistbulk,8,2048,1528,232
directory-rich,getattrlistbulk,9,2048,1346,125
wide,jwalk,1,2048,35980,617
wide,jwalk,2,2048,29123,2144
wide,jwalk,3,2048,21847,206
wide,jwalk,4,2048,35678,987
wide,jwalk,5,2048,31510,5980
wide,jwalk,6,2048,31680,1598
wide,jwalk,7,2048,26096,598
wide,jwalk,8,2048,28322,998
wide,jwalk,9,2048,37315,1799
wide,getattrlistbulk,1,2048,1929,813
wide,getattrlistbulk,2,2048,1410,668
wide,getattrlistbulk,3,2048,1290,556
wide,getattrlistbulk,4,2048,1417,634
wide,getattrlistbulk,5,2048,1427,698
wide,getattrlistbulk,6,2048,1434,720
wide,getattrlistbulk,7,2048,1455,686
wide,getattrlistbulk,8,2048,1518,798
wide,getattrlistbulk,9,2048,1446,715
