workload,backend,iteration,wall_ms,scanner_elapsed_ms,traversal_us,aggregation_us,indexing_us,initial_view_ms,entries_per_second
hardlink-heavy,jwalk,1,232.681417,232,232190,434,0,0.029416,332140.8344354375
hardlink-heavy,jwalk,2,235.810500,235,235306,438,0,0.032208,327733.4978722322
hardlink-heavy,jwalk,3,235.730875,235,235246,416,0,0.033917,327844.1994499023
hardlink-heavy,jwalk,4,236.502375,236,235961,467,0,0.034417,326774.7311205649
hardlink-heavy,jwalk,5,240.596125,240,240033,480,0,0.038083,321214.6496540624
hardlink-heavy,jwalk,6,238.654541,238,238162,410,0,0.031709,323827.9048710831
hardlink-heavy,jwalk,7,234.946542,234,234386,481,0,0.038292,328938.6570328837
hardlink-heavy,jwalk,8,238.017292,237,237489,451,0,0.030875,324694.8965371810
hardlink-heavy,jwalk,9,242.502458,242,241976,448,0,0.031792,318689.5532415593
hardlink-heavy,getattrlistbulk,1,38.390083,38,37894,433,0,0.029958,2013098.0180480464
hardlink-heavy,getattrlistbulk,2,39.725334,39,39148,502,0,0.036959,1945433.6117098473
hardlink-heavy,getattrlistbulk,3,35.742500,35,35254,424,0,0.031916,2162215.8494789116
hardlink-heavy,getattrlistbulk,4,40.027583,39,39455,507,0,0.032542,1930743.6074768743
hardlink-heavy,getattrlistbulk,5,37.520041,37,37003,454,0,0.034834,2059779.1990685726
hardlink-heavy,getattrlistbulk,6,33.985708,33,33455,460,0,0.033417,2273985.2881687796
hardlink-heavy,getattrlistbulk,7,36.494958,36,35992,444,0,0.028875,2117634.9894689564
hardlink-heavy,getattrlistbulk,8,36.554333,36,35796,582,0,0.035000,2114195.3267209115
hardlink-heavy,getattrlistbulk,9,40.139458,39,39504,472,0,0.030208,1925362.3205375618
