variant,workload,iteration,wall_ms,scanner_elapsed_ms,traversal_ms,aggregation_ms,indexing_ms,initial_view_ms,entries_per_second
before,directory-rich,1,275.376083,275,130,44,100,,399820.4884045794
before,directory-rich,2,270.427625,270,133,41,95,,407136.6599473704
before,directory-rich,3,280.695208,280,134,45,100,,392243.96021751827
before,directory-rich,4,280.508041,280,136,46,97,,392505.68221678893
before,directory-rich,5,279.216667,279,132,44,101,,394321.01666051336
before,directory-rich,6,286.690167,286,139,47,99,,384041.7728732217
before,directory-rich,7,271.092292,271,131,43,95,,406138.4379014361
before,wide,1,291.384292,291,95,28,166,,343539.4520168575
before,wide,2,290.108375,290,97,28,164,,345050.36264464963
before,wide,3,317.810292,317,116,27,173,,314974.0663527662
before,wide,4,298.308791,298,100,28,169,,335565.0353596183
before,wide,5,285.384083,285,91,28,165,,350762.3794141315
before,wide,6,298.377542,298,92,29,176,,335487.7157611279
before,wide,7,290.021167,289,96,27,166,,345154.1176647979
after,directory-rich,1,204.62175,201,131,42,27,3.272792,538070.8551265934
after,directory-rich,2,207.063916,203,135,43,24,3.218583,531724.7066842878
after,directory-rich,3,195.969166,193,125,42,25,2.844041,561828.1806638908
after,directory-rich,4,200.730208,197,129,42,24,3.106208,548502.3958127917
after,directory-rich,5,196.757583,193,122,43,27,2.844791,559576.9084030677
after,directory-rich,6,204.69025,201,132,43,25,2.987792,537890.7886428396
after,directory-rich,7,202.139125,198,128,43,27,3.297417,544679.3143088949
after,directory-rich,8,191.544167,188,120,42,25,3.167292,574807.3758884028
after,directory-rich,9,196.031083,193,122,44,25,2.945958,561650.7255637618
after,wide,1,147.819125,139,96,29,14,8.2095,677192.481013536
after,wide,2,154.347917,145,104,26,14,8.527542,648547.7870103035
after,wide,3,142.588667,133,92,28,13,8.653542,702033.3530434084
after,wide,4,135.990958,127,87,26,13,8.169041,736093.0570104521
after,wide,5,160.027625,152,110,26,14,7.749208,625529.4984225379
after,wide,6,140.125959,131,88,27,15,8.675166,714371.5605186331
after,wide,7,135.926667,127,85,27,14,8.392583,736441.2164980107
after,wide,8,165.328833,157,113,28,15,7.95025,605472.125966074
after,wide,9,152.825875,144,100,28,15,8.744167,655006.882833159
